PERIODO,NIU,DIUG,FIUG,CEC,VCD,VCF,GRUPO_CALIDAD_x,NIVEL_TENSION_x,CARGO_DISTRIBUCION,CONSUMO_MES,MES_FACTURADOS,%_PROP._ACTIVO,COMPENSADO,ALTITUD,LONGITUD,LATITUD
2025-08,1854120,10.87,11,0.0,0.0,0.0,11,1,398.37,87.0,1,100,0,1024.0,-76.279908,3.528014
2025-07,3284938,11.91,11,0.0,0.0,0.0,22,1,398.997,32.0,1,100,0,1175.0,-75.825258,4.327794
2025-07,20230394823,40.96,23,0.0,0.0,0.0,31,1,398.997,60.0,1,100,0,962.0,-76.501617,3.563271
2025-08,20250109408,10.25,13,0.0,0.0,0.0,12,1,326.865,171.0,1,0,0,970.0,-76.52809,3.270833
2025-08,1040438,10.25,13,0.0,0.0,0.0,12,1,398.37,0.0,2,100,0,987.0,-76.296112,3.886849
2025-07,3781891,8.49,7,0.0,0.0,0.0,13,1,398.997,362.0,1,100,0,20.0,-77.014364,3.880036
2025-07,20230629121,40.96,23,0.0,0.0,0.0,31,1,398.997,46.0,1,100,0,949.0,-76.400519,3.415018
2025-07,3656352,9.94,9,1104.07,61623.944,0.0,31,2,279.076,1100.0,1,101,1,950.0,-76.490035,3.503967
2025-08,3293504,11.1,12,129.76,10338.481,0.0,21,1,398.37,127.0,1,100,1,1031.0,-76.23581,3.330994
2025-08,1975074,57.02,26,105.589,8412.671,0.0,32,1,398.37,102.0,2,100,1,1514.0,-76.385178,4.282384
2025-08,20230081019,10.87,11,0.0,0.0,0.0,11,1,398.37,15.0,1,100,0,996.0,-76.29772,3.511848
2025-07,1577982,8.49,7,0.0,0.0,0.0,13,1,398.997,9.0,1,100,0,19.0,-76.995185,3.872551
2025-07,20250012439,10.25,13,0.0,0.0,0.0,12,1,327.878,69.0,1,0,0,970.0,-76.52809,3.270833
2025-08,20250097906,57.02,26,0.0,0.0,0.0,32,1,326.865,0.0,2,0,0,987.0,-76.522692,3.224628
2025-08,1965886,11.91,11,0.0,0.0,0.0,22,1,398.37,85.0,1,100,0,1163.0,-75.824,4.336704
2025-07,3144270,57.02,26,0.0,0.0,0.0,32,1,398.997,114.0,1,100,0,1038.0,-76.266146,3.613743
2025-08,3830300,40.96,23,0.0,0.0,0.0,31,1,398.37,0.0,2,100,0,1348.0,-76.241863,3.819967
2025-07,1382300,40.96,23,0.0,0.0,0.0,31,1,327.878,0.0,2,0,1,970.0,-76.357295,3.520055
2025-08,2037808,40.96,23,79.051,6298.277,0.0,31,1,398.37,158.0,2,100,1,1401.0,-75.917294,4.518463
2025-07,2938122,40.96,23,0.0,0.0,0.0,31,1,398.997,0.0,2,100,0,951.0,-76.45717,3.436695
2025-08,2915895,57.02,26,0.0,0.0,0.0,32,1,398.37,0.0,2,100,0,1071.0,-76.247969,3.658314
2025-07,3985053,10.25,13,0.0,0.0,0.0,12,1,398.997,55.0,1,100,0,967.0,-76.508755,3.225541
2025-08,3282988,10.87,11,0.0,0.0,0.0,11,1,398.37,70.0,1,100,0,1029.0,-76.279439,3.538462
2025-07,3474177,11.1,12,116.64,9307.844,0.0,21,1,398.997,114.0,1,100,1,966.0,-76.383802,3.397138
2025-08,3926383,40.96,23,0.0,0.0,0.0,31,1,398.37,0.0,2,100,0,962.0,-76.502149,3.555931
